Sr.No.,District,Taluka,Name of PHC,Vehicle No,Make / Model,Type,Make Year
31,Nagpur,Nagpur,Vyahad,MH 31 FC 5469,Force Traveller,Ambulance,2021
32,Nagpur,Narkhed,Bishnoor,MH 40 CD 2226,Force Traveller,Ambulance,2021
33,Nagpur,Narkhed,Mendhala,MH 31 FC 8971,Force Traveller,Ambulance,2024
34,Nagpur,Narkhed,Mowad,MH 40 7967,Tata Sumo,Ambulance,2013
35,Nagpur,Narkhed,Mowad,MH 31 FC 5424,Mahendra Supro,Ambulance,2021
36,Nagpur,Narkhed,Jalalkheda,MH 31 FC 8927,Force Traveller,Ambulance,2024
37,Nagpur,Narkhed,Sawargaon,MH 31 FC 8928,Force Traveller,Ambulance,2024
38,Nagpur,Parseoni,Dahegaonjoshi,MH 31 FC 6316,Force Traveller,Ambulance,2022
39,Nagpur,Parseoni,Dorli,MH 31 FC 8972,Force Traveller,Ambulance,2024
40,Nagpur,Parseoni,Kanhan,MH 31 FC 5471,Force Traveller,Ambulance,2021
41,Nagpur,Parseoni,Navegaonkhairi,MH 31 FC 5470,Force Traveller,Ambulance,2021
42,Nagpur,Parseoni,Navegaonkhairi,MH 31 FC 3378,Mahendra Boloro,Ambulance,2019
43,Nagpur,Parseoni,Ghatpendhari,MH 40 7972,Tata Sumo,Ambulance,2013
44,Nagpur,Parseoni,Satak,MH 31 FC 8973,Force Traveller,Ambulance,2024
45,Nagpur,Ramtek,Karwahi,MH 40 7962,Tata Sumo,Ambulance,2013
46,Nagpur,Ramtek,Karwahi,MH 31 FC 3383,Mahendra Boloro,Ambulance,2019
47,Nagpur,Ramtek,Bhandarbodi,MH 31 FC 9023,Force Traveller,Ambulance,2024
48,Nagpur,Ramtek,Hiwara bazar,MH 40 CD 2228,Force Traveller,Ambulance,2021
49,Nagpur,Ramtek,Hiwara bazar,MH 31 FC 3382,Mahendra Boloro,Ambulance,2019
50,Nagpur,Ramtek,Mansar,MH 31 FC 5467,Force Traveller,Ambulance,2021
51,Nagpur,Ramtek,Nagardhan,MH 31 FC 5463,Force Traveller,Ambulance,2021
52,Nagpur,Saoner,Kelwod,MH 31 FC 5461,Force Traveller,Ambulance,2021
53,Nagpur,Saoner,Badegaon,MH 31 FC 5472,Force Traveller,Ambulance,2021
54,Nagpur,Saoner,Chicholi,MH 31 FC 6317,Force Traveller,Ambulance,2022
55,Nagpur,Saoner,Khapa,MH 40 CD 2230,Force Traveller,Ambulance,2021
56,Nagpur,Saoner,Patnasawgi,MH 31 FC 3379,Mahendra Boloro,Ambulance,2019
57,Nagpur,Umred,Bela,MH 31 FC 5546,Force Traveller,Ambulance,2021
58,Nagpur,Umred,Bela,MH 31 FC 3382,Mahendra Boloro,Ambulance,2019
59,Nagpur,Umred,Makardhokda,MH 31 FC 5548,Force Traveller,Ambulance,2021
60,Nagpur,Umred,Pachgaon,MH 40 AQ 0050,Force Traveller,Ambulance,2015
61,Nagpur,Umred,Sirsi,MH 31 FC 5545,Force Traveller,Ambulance,2021
